"ubigeo","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
1001,3.48847893119749e-05,3.66262170062157e-05,3.63713591127965e-05,4.09667271112368e-05,3.47936791905995e-05,3.72701064379387e-05
1010,3.51111839803499e-05,3.68666492247324e-05,3.63859431632097e-05,4.10072351762165e-05,3.47222823246713e-05,3.74024462251063e-05
1006,3.55146211958682e-05,3.72570246193182e-05,3.72134895940786e-05,4.18492709524616e-05,3.53447989964754e-05,3.802004377359e-05
1007,3.42648108857538e-05,3.59517030511912e-05,3.62217514518707e-05,4.05320762153569e-05,3.46433524686743e-05,3.68387478452159e-05
1008,3.48896272345319e-05,3.66738165042631e-05,3.61200622053567e-05,4.06197220964166e-05,3.44876449907116e-05,3.68167640883174e-05
1009,3.76769650960133e-05,3.90461535639571e-05,3.94486005623438e-05,4.41997210623714e-05,3.7445859523853e-05,3.97595270553744e-05
1011,3.42850542408206e-05,3.61002561146495e-05,3.59373121436974e-05,4.04157995004229e-05,3.42050122287552e-05,3.67326402970114e-05
1102,4.36258313144513e-05,4.46584833006913e-05,4.40865294552255e-05,4.86936676906977e-05,4.28223859132295e-05,4.61173427500225e-05
1101,4.35144289520653e-05,4.46450686482551e-05,4.37825004735611e-05,4.77323622743109e-05,4.2962644414815e-05,4.63020429204689e-05
1103,4.39381047452372e-05,4.49557530004407e-05,4.41735569000775e-05,4.80279957496566e-05,4.35487509005629e-05,4.74551025321495e-05
1104,4.27610763228648e-05,4.35506103797753e-05,4.30750253819292e-05,4.71790244888192e-05,4.18340890074214e-05,4.51926101413254e-05
1105,4.36063741037655e-05,4.47750079933814e-05,4.39481179881154e-05,4.83783528705676e-05,4.32672906813427e-05,4.65177715444978e-05
1203,3.60324028050111e-05,3.81020823145088e-05,3.75322252916988e-05,4.16829641513382e-05,3.59148035220124e-05,3.82610126186004e-05
1209,3.69930272922582e-05,3.8481812915365e-05,3.76760954859753e-05,4.23350963485754e-05,3.64170464276093e-05,3.9020789792114e-05
1202,3.55851120413916e-05,3.74047954914758e-05,3.6405444992611e-05,4.07410893167548e-05,3.49048293435623e-05,3.7278088652842e-05
1201,3.60976038421425e-05,3.79557754040263e-05,3.67769767478909e-05,4.14368253559215e-05,3.56162223450778e-05,3.81036237545543e-05
1204,3.60536121284132e-05,3.76644705063261e-05,3.69123835074537e-05,4.13470669692348e-05,3.52950360797628e-05,3.77173201294377e-05
1205,3.57510508676074e-05,3.73031164806269e-05,3.67054011250373e-05,4.1035787277653e-05,3.49913346110053e-05,3.73026360608986e-05
1206,3.67442470290838e-05,3.8787224605484e-05,3.8024736110962e-05,4.25782398335542e-05,3.64116062255996e-05,3.92505811301987e-05
1207,3.61991394622765e-05,3.77054594705242e-05,3.71992972197203e-05,4.16061721816298e-05,3.58263630446975e-05,3.79138394231037e-05
1208,3.80694425131976e-05,3.91044928554584e-05,3.87589828523392e-05,4.37816484480374e-05,3.74439605073685e-05,3.96997167507017e-05
1302,4.21341117647948e-05,4.3722896235961e-05,4.44352208099769e-05,4.86841820798773e-05,4.21765682877592e-05,4.50786044633819e-05
1303,3.29765699951302e-05,3.48935123043953e-05,3.5499663462045e-05,3.95036264249615e-05,3.35989685383341e-05,3.52807299323494e-05
1304,4.22167437556428e-05,4.40227979279653e-05,4.44442443665034e-05,4.88642933029964e-05,4.16585140929616e-05,4.50920673401608e-05
1311,3.68744823647075e-05,3.88247139678184e-05,3.915214619045e-05,4.37112585079658e-05,3.74728352626558e-05,3.96895183911713e-05
1305,3.60756367672384e-05,3.730896269047e-05,3.7443696121139e-05,4.18902961870301e-05,3.56933732490479e-05,3.76906925465413e-05
1306,3.73608224973806e-05,3.91068106123453e-05,3.93237773610663e-05,4.41197695343408e-05,3.76590383505352e-05,4.00168179604677e-05
1307,4.17854731103652e-05,4.31840277516577e-05,4.40012884079074e-05,4.79162639161251e-05,4.18221213173048e-05,4.46232235933014e-05
1308,3.32260746711786e-05,3.51460693833011e-05,3.56576099676373e-05,3.96779712004767e-05,3.41065532548589e-05,3.57384806607098e-05
1309,3.43468705520708e-05,3.61779663308278e-05,3.66771207562176e-05,4.10596369352673e-05,3.50400213224499e-05,3.69995721564007e-05
