"UBIGEO","no2_mean_2019","no2_mean_2020","no2_mean_2021","no2_mean_2022","no2_mean_2023","no2_mean_2024"
"101006",3.45985759582187e-05,3.60774591753888e-05,3.57038808168007e-05,4.03060504151739e-05,3.35687667633316e-05,3.73050113401995e-05
"101007",3.50896339990659e-05,3.68686091513939e-05,3.64166124273849e-05,4.1028082285216e-05,3.47153783408868e-05,3.72570171291241e-05
"101101",3.36946456825271e-05,3.54634708957735e-05,3.52323537826105e-05,3.97538580774788e-05,3.33677392667253e-05,3.57285006572309e-05
"101102",3.44572403378294e-05,3.62956801138093e-05,3.59895916647094e-05,4.04981915920616e-05,3.40987180418029e-05,3.68404184151741e-05
"101103",3.48415972193602e-05,3.68945997752748e-05,3.65029684387888e-05,4.11037642120105e-05,3.48675638632395e-05,3.7644408226401e-05
"101104",3.4413739836572e-05,3.64170023115137e-05,3.61706608663123e-05,4.06329631699726e-05,3.46002688646921e-05,3.70842437387062e-05
"101105",3.44027193198615e-05,3.62773932163774e-05,3.54458935773275e-05,4.00619601325006e-05,3.40130164803879e-05,3.64815964870928e-05
"101106",3.43788608303979e-05,3.61481519178927e-05,3.62309354692269e-05,4.0605645207224e-05,3.43695427568554e-05,3.69746859580971e-05
"101107",3.46303821536636e-05,3.63424857515079e-05,3.66580377027021e-05,4.11284274270204e-05,3.46811235409949e-05,3.74277824156132e-05
"101108",3.50230048135233e-05,3.65238051997868e-05,3.63316040506083e-05,4.07983637809132e-05,3.4991661603188e-05,3.7670514248397e-05
"110101",4.33397666014321e-05,4.45614652569856e-05,4.35415235535397e-05,4.74799179559663e-05,4.27116139063385e-05,4.60366335679053e-05
"110102",4.91536043744828e-05,4.97451602718082e-05,5.04893629030834e-05,5.43776205575475e-05,4.93788333981323e-05,5.31651766736773e-05
"110103",4.85640269546558e-05,4.90555860212399e-05,4.92510681046099e-05,5.34725037299229e-05,4.86726770319689e-05,5.19581334092691e-05
"110104",4.23819184743615e-05,4.38291917293887e-05,4.24865228825792e-05,4.63757804250219e-05,4.16796748958509e-05,4.50148992039817e-05
"110105",4.89173344819903e-05,4.9799101917231e-05,4.92853321444527e-05,5.32055540355251e-05,4.90201582713465e-05,5.2065116358424e-05
"110106",5.10273424881075e-05,5.07291787049185e-05,5.18693582690508e-05,5.62233343451519e-05,5.13387954526586e-05,5.48963248322284e-05
"110107",5.00076985874699e-05,5.05189539433445e-05,5.02381500870892e-05,5.44371972769791e-05,5.00402170997049e-05,5.33377842830516e-05
"110108",4.56627457740512e-05,4.65524520605813e-05,4.59946559798741e-05,5.05375351927638e-05,4.54267935986638e-05,4.89564676797134e-05
"110109",4.46455183084618e-05,4.54594904202827e-05,4.51902284860391e-05,4.95119334297065e-05,4.41720589759675e-05,4.78308325369698e-05
"110110",4.81291561958934e-05,4.86239879197602e-05,4.88213507025786e-05,5.2912623921866e-05,4.7812187677399e-05,5.17887743205576e-05
"110111",4.29942135663635e-05,4.41950277363846e-05,4.31489061927482e-05,4.69450185696359e-05,4.23987051696016e-05,4.5713041757472e-05
"110112",4.46973912506836e-05,4.57561226951922e-05,4.5103448711897e-05,4.92503459119458e-05,4.4556579082682e-05,4.76823035102778e-05
"110113",4.85567318196771e-05,4.95184415570355e-05,4.86213398728059e-05,5.31021462128894e-05,4.86126404465577e-05,5.1655796267747e-05
"110114",4.30865518657674e-05,4.40172981576586e-05,4.35754066188045e-05,4.7459968171481e-05,4.24467207531951e-05,4.56605218505784e-05
