ubigeo,no2_mean_2019,no2_mean_2020,no2_mean_2021,no2_mean_2022,no2_mean_2023,no2_mean_2024
1004,3.375462029150491e-5,3.5555968732666276e-5,3.564052948402401e-5,3.9929430572830526e-5,3.4307867492797406e-5,3.654569151654787e-5
1005,3.488828810521493e-5,3.6608412412056775e-5,3.662044192957708e-5,4.125056029827382e-5,3.5569088429456104e-5,3.782305126521234e-5
1001,3.488478931197493e-5,3.662621700621571e-5,3.6371359112796454e-5,4.0966727111236774e-5,3.479367919059951e-5,3.7270106437938745e-5
1010,3.511118398034988e-5,3.6866649224732394e-5,3.638594316320973e-5,4.100723517621655e-5,3.472228232467132e-5,3.740244622510626e-5
1006,3.5514621195868195e-5,3.725702461931821e-5,3.721348959407857e-5,4.1849270952461604e-5,3.5344798996475447e-5,3.802004377359004e-5
1007,3.426481088575384e-5,3.59517030511912e-5,3.622175145187068e-5,4.0532076215356886e-5,3.464335246867432e-5,3.6838747845215945e-5
1008,3.488962723453186e-5,3.667381650426305e-5,3.612006220535673e-5,4.061972209641663e-5,3.448764499071165e-5,3.68167640883174e-5
1009,3.767696509601328e-5,3.904615356395714e-5,3.944860056234377e-5,4.419972106237143e-5,3.7445859523853037e-5,3.975952705537439e-5
1011,3.4285054240820644e-5,3.6100256114649464e-5,3.59373121436974e-5,4.041579950042293e-5,3.42050122287552e-5,3.6732640297011436e-5
1102,4.3625831314451315e-5,4.465848330069131e-5,4.40865294552255e-5,4.869366769069772e-5,4.28223859132295e-5,4.611734275002247e-5
1101,4.3514428952065264e-5,4.4645068648255066e-5,4.378250047356111e-5,4.773236227431087e-5,4.296264441481503e-5,4.6302042920468935e-5
1103,4.3938104745237235e-5,4.495575300044067e-5,4.417355690007752e-5,4.802799574965655e-5,4.3548750900562863e-5,4.745510253214949e-5
1104,4.2761076322864755e-5,4.3550610379775255e-5,4.307502538192918e-5,4.7179024488819227e-5,4.183408900742136e-5,4.5192610141325366e-5
1105,4.3606374103765485e-5,4.47750079933814e-5,4.394811798811544e-5,4.83783528705676e-5,4.326729068134274e-5,4.651777154449777e-5
1203,3.603240280501109e-5,3.81020823145088e-5,3.753222529169881e-5,4.168296415133815e-5,3.5914803522012404e-5,3.826101261860042e-5
1209,3.69930272922582e-5,3.848181291536505e-5,3.767609548597532e-5,4.233509634857539e-5,3.64170464276093e-5,3.902078979211396e-5
1202,3.558511204139163e-5,3.7404795491475754e-5,3.640544499261101e-5,4.074108931675478e-5,3.490482934356235e-5,3.727808865284197e-5
1201,3.6097603842142524e-5,3.7955775404026284e-5,3.6776976747890876e-5,4.143682535592151e-5,3.5616222345077773e-05,3.810362375455429e-5
1204,3.605361212841325e-5,3.766447050632607e-5,3.691238350745375e-5,4.1347066969234814e-5,3.529503607976285e-5,3.771732012943774e-5
1205,3.575105086760739e-5,3.730311648062687e-5,3.6705401125037335e-5,4.1035787277653e-5,3.499133461100531e-5,3.7302636060898636e-5
1206,3.6744247029083786e-5,3.878722460548396e-5,3.802473611096196e-5,4.257823983355419e-5,3.6411606225599635e-5,3.9250581130198716e-5
1207,3.6199139462276454e-5,3.770545947052423e-5,3.71992972197203e-5,4.1606172181629795e-5,3.582636304469752e-5,3.791383942310374e-5
1208,3.806944251319762e-5,3.9104492855458394e-5,3.87589828523392e-5,4.3781648448037446e-5,3.7443960507368514e-5,3.969971675070172e-5
